id_articulo,titulo,autores,afiliaciones,palabras_clave,tematica
"RCM+Vol+36,+No+Unico,+2022-2023,+pp.+51-56",Evaluación de habilidades cognitivas de diversos modelos de lenguajes a gran escala,Kevin Talavera Díaz|Alberto Fernández Oliva|Suilán Estévez Velarde,"Departamento de Computación, Facultad de Matemática y Computación, Universidad de La Habana, Cuba",habilidades cognitivas|procesamiento del lenguaje natural|LLM,Evaluación de habilidades cognitivas de LLM
"RCM+Vol+36,+No+Unico,+2022-2023,+pp.+57-69 (1)",Propuesta didáctica para la enseñanza de matrices y conceptos asociados mediante el cifrado de Hill,Guillermo Enrique Ramírez Montes,"Departamentode Educación Matemática, Universidad de Costa Rica, San José, Costa Rica",cifradodeHill|hojadecálculodeExcel|matrices|propuestadidáctica,Enseñanza de matrices y conceptos asociados mediante el cifrado de Hill
"RCM+Vol+36,+No+Unico,+2022-2023,+pp.+57-69",Propuesta didáctica para la enseñanza de matrices y conceptos asociados mediante el cifrado de Hill,Guillermo Enrique Ramírez Montes,"Departamentode Educación Matemática, Universidad de Costa Rica, San José, Costa Rica",cifradodeHill|hojadecálculodeExcel|matrices|propuestadidáctica,Enseñanza de matrices y conceptos asociados mediante el cifrado de Hill
"RCM+Vol+36,+No+Unico,+2022-2023,+pp.+71-78",Pirámides instrumentales en la enseñanza y aprendizaje del límite funcional,Adriana Díaz Cordero|Valentina Badía Albanés,"DepartamentodeMatemática,FacultaddeMatemáticayComputación,UniversidaddeLaHabana,LaHabana,Cuba",dificultadesdeaprendizaje|límitefuncional|pirámidesinstrumentales,Uso de pirámides instrumentales en la enseñanza del límite funcional
"RCM+Vol+36,+No+Unico,+2022-2023,+pp.+79-85 (1)",Meta-aprendizaje para AutoML heterogéneo,Lia de la Concepción Zerquera Ferrer|Alberto Fernández Oliva|Alejandro Piad Morffis|Suilan Estévez Velarde,"DepartamentodeComputación,FacultaddeMatemáticayComputación,UniversidaddeLaHabana,Cuba",aprendizajedemáquina|AutoML|meta-aprendizaje,Meta-aprendizaje para AutoML heterogéneo
"RCM+Vol+36,+No+Unico,+2022-2023,+pp.+79-85",Meta-aprendizaje para AutoML heterogéneo,Lia de la Concepción Zerquera Ferrer|Alberto Fernández Oliva|Alejandro Piad Morffis|Suilan Estévez Velarde,"DepartamentodeComputación,FacultaddeMatemáticayComputación,UniversidaddeLaHabana,Cuba",aprendizajedemáquina|AutoML|meta-aprendizaje,Meta-aprendizaje para AutoML heterogéneo
"RCM+Vol+36,+No+Unico,+2022-2023,+pp.+87-98",Estudio matemático de la diabetes en gestantes y no gestantes,Jorly Alberto Pérez Pérez|Sandy Sánchez Domínguez|Adolfo Arsenio Fernández García|Tahiry Gómez Hernández|Leticia Cristina Bequer Mendoza,"DepartamentodeMatemática,UniversidadCentralMartaAbreudelasVillas,VillaClara,Cuba|DepartamentodeMatemática,EscuelaIterarmasGeneralJoséMaceoGrajales,SantiagodeCuba,Cuba|DepartamentodeMatemática,UniversidaddeOriente,SantiagodeCuba,Cuba|UnidaddeInvestigacionesBiomédicas,UniversidaddeCienciasMédicasdeVillaClara,VillaClara,Cuba",ajustedecurvas|diabetesmellitus|modeloslineales|pronósticodeconcentraciones,Estudio matemático de la diabetes
"RCM+Vol+36,+No+Unico,+2022-2023,+pp.+99",Actitudes hacia las matemáticas en la resolución de problemas y su relación con la investigación propia,"Flores López, W. O.|García Rojas, Pedro","URACCAN, Managua|Centro de Salud Mental, Ministerio de Salud Pública, La Habana, Cuba",,Actitudes hacia las matemáticas y resolución de problemas
"RCM+Vol.36,+No.Unico,+2022-2023,+pp.1-11",Simulación computacional para la dinámica de enfermedades transmitidas por vectores,Ernesto Alfonso Hernández|Aymée de los Ángeles Marrero Severo,"Departamento de Matemática Aplicada, Facultad de Matemática y Computación, Universidad de La Habana, Cuba",epidemias|mapas cognitivos difusos|modelos basados en agentes|redes complejas|simulación,Simulación de epidemias con modelos basados en agentes y redes complejas
"RCM+Vol.36,+No.Unico,+2022-2023,+pp.19-19",Matrix-free computation of linear combinations of phi-functions times vectors in exponential integrators,Frank Sadan Naranjo-Noda|Juan Carlos Jiménez Sobrino,"Departamento de Matemática Interdisciplinaria, Instituto de Cibernética, Matemática y Física, La Habana, Cuba",phi-functions|iterative numerical method|matrix-free method|exponential integrator|high-dimensional initial value problem,Cálculo sin matrix de combinaciones lineales de función phi por vector en integradores exponenciales
"RCM+Vol.36,+No.Unico,+2022-2023,+pp.21-34",Neural networks to remove specular reflections in colposcopic images,Lauren Jimenez-Martin|Daniel Alejandro Valdés Pérez|Ana Margarita Solares Asteasuainzarra|Ludwig Leonard Méndez|Marta Lourdes Baguer Díaz-Romañach,"Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba|Hospital Ginecobstétrico Universitario 'Ramón González Coro', La Habana, Cuba",cervicalcancer|colposcopicimage|specularreflection|inpainting|supervisedlearning,Neural networks for specular reflection removal in colposcopic images
"RCM+Vol.36,+No.Unico,+2022-2023,+pp.43-49",El problema de Riemann para el sistema de Lamé-Navier bidimensional,Diego Esteban Gutierrez Valencia|Daniel Alfonso Santiesteban|Ricardo Abreu Blaya,"Facultad de Matemáticas, Universidad Autónoma de Guerrero, Chilpancingo, Guerrero, México",operador de Cauchy-Riemann|operador de Teodorescu|problema de Riemann|sistema de Lamé-Navier,Análisis del sistema de Lamé-Navier en la teoría de la elasticidad lineal
"RCM+Vol.36,+No.Unico,+2022-2023,+pp.i-vii","Nueva Época de la revista Ciencias Matemáticas: creativa, interactiva y dinámica",Damian Valdés Santiago,"DirectoryEditor-JefedelarevistaCienciasMatemáticas.DepartamentoMatemáticaAplicada,FacultaddeMatemáticayComputación,UniversidaddeLaHabana,LaHabana,Cuba",,Nueva época de la revista Ciencias Matemáticas
"RCM+Vol.37,+No.1,+2024,+p.100","Hernández, J. F. y Miret, E. (2022) Introducción al Álgebra",María Esther Reyes Calzado,"Departamento de Matemática, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",,Introducción al Álgebra Lineal
"RCM+Vol.37,+No.1,+2024,+p.99","Del Prado Arza, N. (2024). Para Pensar la Matemática y con la Matemática. Acertijos y sus respuestas.",Pedro García Rojas,"Centro de Salud Mental, Ministerio de Salud Pública, La Habana, Cuba.",,Resolución creativa de problemas matemáticos
"RCM+Vol.37,+No.1,+2024,+pp.1-7","Ejercicios de cálculo, de orientación y divergentes utilizados en los contenidos de Geometría Analítica",Roxana Cabrera Puig|Alicia Robbio Marrero,"Departamento de Matemática, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",ejercicios|Geogebra|geometría,Ejercicios de cálculo y geometría con Geogebra
"RCM+Vol.37,+No.1,+2024,+pp.101-102","Jornada Científica Estudiantil (JCE MatCom 2023), Facultad de Matemática y Computación, Universidad de La Habana",Comité Editorial,"Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",,Jornada Científica Estudiantil en Matemática y Computación
"RCM+Vol.37,+No.1,+2024,+pp.103-104 (1)","Conferencia Europea y Latinoamericana de Mecánica Teórica y Aplicada (ELACTAM 2024), La Habana",Reinaldo Rodríguez Ramos,"Departamento de Matemática, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",,Mecánica de materiales y homogenización
"RCM+Vol.37,+No.1,+2024,+pp.103-104","Conferencia Europea y Latinoamericana de Mecánica Teórica y Aplicada (ELACTAM 2024), La Habana",Reinaldo Rodríguez Ramos,"Departamento de Matemática, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",,Mecánica de materiales y homogenización
"RCM+Vol.37,+No.1,+2024,+pp.105-106",A la memoria de Aurelio Quintana Valdés,Marta María Álvarez Pérez,"Fue Metodóloga Nacional de Matemática, Ministerio de Educación, Cuba",,Obituario de Aurelio Quintana Valdés
"RCM+Vol.37,+No.1,+2024,+pp.15-29",Grafo para la evaluación automática de soluciones vecinas en problemas de enrutamiento de vehículos,Fernando Raul Rodriguez Flores|José Jorge Rodríguez Salgado,"Departamento Matemática Aplicada, Facultad de Matemáticay Computación, Universidad de La Habana, La Habana, Cuba.|Scalian Consulting Spain SL. España.",grafodeevaluación|evaluaciónautomáticadesolucionesvecinas|problemadeenrutamiento devehículos,Evaluación automática de soluciones vecinas en problemas de enrutamiento de vehículos
"RCM+Vol.37,+No.1,+2024,+pp.31-40",Segmentación automática del hígado en imágenes de tomografía computarizada,Lázaro Ramón Caraballo Rodríguez|Marlen Pérez Díaz|Rubén Orozco Morales,"Departamento de Automática, Facultad de Ingeniería Eléctrica, Universidad Central 'Marta Abreu' de las Villas, Villa Clara, Cuba",hígado|procesamiento digital de imágenes|segmentación|tomografía computarizada de abdomen,Segmentación automática de hígado en imágenes de tomografía
"RCM+Vol.37,+No.1,+2024,+pp.41-48",Retos pos-Covid de la educación a distancia en matemática para la formación de ingenieros,Tania Diez Fumero|Abelardo López Domínguez|Alisbet Martínez Bello,"Departamento de Matemática, Instituto Técnico Militar “José Martí”, La Habana, Cuba|Centro de Estudios para el Perfeccionamiento de la Educación Superior, Universidad de La Habana, La Habana, Cuba|Departamento de Electrónica, Instituto Técnico Militar “José Martí”, La Habana, Cuba",educación híbrida|aprendizaje autónomo|matemática superior,Retos de la educación a distancia en matemática para ingenieros
"RCM+Vol.37,+No.1,+2024,+pp.49-59",Introducción y solución del problema de los reducidos catalanes,Luis Enrique Fernández Machado,"Departamento de Matemática, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",cardinal|congruencia|ecuación|máximo|potencia,Problema de los reducidos catalanes y método Bézout-Euler de las potencias
"RCM+Vol.37,+No.1,+2024,+pp.61-68",Extracción de conocimiento mediante traducción automatizada a Cypher con aprendizaje zero-shot,Rolando Sánchez Ramos,"DepartamentodeComputación,FacultaddeMatemáticayComputación,UniversidaddeLaHabana,Cuba",aprendizaje con cero muestras de entrenamiento|modelos de lenguajes a gran escala|inteligencia artificial,Traducción automatizada de consultas de lenguaje natural a Cypher con aprendizaje zero-shot
"RCM+Vol.37,+No.1,+2024,+pp.69-76",Ecosistema de ciencia de datos para el análisis de largos supervivientes en cáncer,Jorge Luis Palomino Hernández|Patricia Lorenzo-Luaces Álvarez|Lizet Sánchez Valdés,"Dirección de investigaciones clínicas, Centro de Inmunología Molecular, La Habana, Cuba",cáncer|ciencia de datos|larga supervivencia,Análisis de supervivencia en cáncer de pulmón avanzado
"RCM+Vol.37,+No.1,+2024,+pp.77-84",Modelación de la propagación de procesos de contagios influidos por la distancia de contacto,Dagoberto Acosta Iglesias|Miguel Enrique Iglesias Martínez|Milton Henry Perea,"Facultad de Ciencias de la Tierra, Universidad Estatal Amazónica, Puyo, Ecuador|Grupo de Modelización Interdisciplinar, InterTech, Instituto Universitario de Matemática Pura y Aplicada, Universitat Politècnica de València, España|Departamento de Matemática y Física, Universidad Tecnológica del Chocó Diego Luis Córdoba, Chocó, Colombia",contagiados|logístico|modelo,Modelo logístico de propagación de enfermedades
"RCM+Vol.37,+No.1,+2024,+pp.85-95",Teorema de los ceros de Hilbert: aplicaciones de sus versiones débil y fuerte,Jolbin José Mairena Aráuz|Isaura Lisbeth Hudiel Fuentes|Cliffor Jerry Herrera-Castrillo,"Centro Universitario Regional de Estelí. Universidad Nacional Autónoma de Nicaragua, Managua, Nicaragua",álgebra conmutativa|aplicaciones|competencias|teorema de los ceros de Hilbert|versión débil y fuerte,Aplicaciones del teorema de los ceros de Hilbert en álgebra conmutativa y geometría algebraica
"RCM+Vol.37,+No.1,+2024,+pp.9-14",Mirada contextual a los asistentes matemáticos desde el triángulo didáctico de Chevallard,Lissette María Pedroso Carracedo|Tania Diez Fumero|Abelardo López Domínguez,"Departamento de Matemática, Instituto Técnico Militar 'José Martí', La Habana, Cuba|Centro de Estudios para el Perfeccionamiento de la Educación Superior, Universidad de La Habana, La Habana, Cuba",asistentes matemáticos|didáctica|enseñanza de la matemática|tecnología|triángulo de Chevallard,Análisis de asistentes matemáticos desde el triángulo didáctico de Chevallard
"RCM+Vol.37,+No.1,+2024,+pp.97-98 (1)",Olimpiadas Luis Campistrus e IGO: Difusión y resultados en el contexto matemático cubano,Nelson Tomás Hernández Reyes|Carlos Jiménez Tejeda|Ernesto Alejandro López Caldalso|Juan Raúl Delgado Rubi,"Centro de Estudios de Matemática, Instituto de Ciencias Básicas, Universidad Tecnológica de La Habana 'José Antonio Echeverría', La Habana, Cuba|Departamento de Matemática, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",,Olimpiadas de matemática en Cuba
"RCM+Vol.37,+No.1,+2024,+pp.97-98",Olimpiadas Luis Campistrus e IGO: Difusión y resultados en el contexto matemático cubano,Nelson Tomás Hernández Reyes|Carlos Jiménez Tejeda|Ernesto Alejandro López Caldalso|Juan Raúl Delgado Rubi,"Centro de Estudios de Matemática, Instituto de Ciencias Básicas, Universidad Tecnológica de La Habana 'José Antonio Echeverría', La Habana, Cuba|Departamento de Matemática, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",,Olimpiadas de matemática en Cuba
RCM-Vol26-No2-2012-Articulo01-PP01-10,LOS ROLES Y EL APRENDIZAJE DE LA PROGRAMACIÓN ORIENTADA A OBJETOS MEDIANTE LA COLABORACIÓN EN LÍNEA PARA LA SOLUCIÓN DE PROBLEMAS,JorgeFardales Pérez|Miguel Salvat Quesada|Ernesto Roberto Fuentes Garí,"Departamento deIngeniería Informática, Universidad JoséMartí Pérez deSancti – Spíritus,Cuba|Departamento de EducaciónaDistancia, Universidad deCienfuegos Carlos Rafael Rodríguez,Cuba",Ambiente de solución colaborativa en línea de problemas|aprendizaje colaborativo asistido porcomputadora|Web2.0|Collaborative Online Problem Solving (COPS)|Computer Supported CollaborativeLearning (CSCL),Aprendizaje colaborativo en línea para la programación orientada a objetos
RCM-Vol26-No2-2012-Articulo02-PP11-20,HERRAMIENTA PARA LA EJECUCIÓN DE ALGORITMOS DE APRENDIZAJE REFORZADO APLICADOS A LA SOLUCIÓN DE PROBLEMAS DE SECUENCIACIÓN,JuliettM.SuárezFerreira|VíctorM.GarcíaMartínez|YailénMartínezJiménez|RafaelBelloPérez,"Universidad Central 'Marta Abreu' de Las Villas, Cuba",AprendizajeReforzado|Q-Learning|Secuenciación,Aprendizaje reforzado para problemas de secuenciación
RCM-Vol26-No2-2012-Articulo03-PP21-30,DISEÑO Y UTILIZACIÓN DE UN SISTEMA INFORMÁTICO PARA EL CONTROL DE PORTADORES ENERGÉTICOS,Sissi Pérez Del Pino (Adiestrado)|Lourdes Tarifa Lozano (Profesor Titular),Universidad de Matanzas ¨Camilo Cienfuegos¨ (UMCC),,Sistema informático para control de portadores energéticos
RCM-Vol26-No2-2012-Articulo05-PP43-53,TRADUCTOR DE REGLAS DE NEGOCIO DE LENGUAJE TÉCNICO LPT A LENGUAJE FORMAL SQL,Martha Beatriz Boggiano Castillo|Ariel Calderón Valdés|Alain Pérez Alonso|Ramiro Pèrez Vazquez,Universidad Marta Abreu de Las Villas,reglas de negocio|reglas en lenguaje técnico|reglas en SQL,Traductor de reglas de negocio de LPT a SQL
RCM-Vol26-No2-2012-Articulo06-PP55-61,ALGORITMO PARA LA GENERACIÓN ALEATORIA DE MATRICES INVERTIBLES,P.Freyre|N. Díaz|E. R.Morgado,"Facultad deMatemáticay Computación,Universidad de La Habana, Cuba.|Facultad de Matemática, Físicay Computación,Universidad Central 'Marta Abreu' delas Villas. Cuba.",Vector|Random matrix products|Random matrix over finite fields,Algoritmos para matrices cuadradas invertibles
RCM-Vol26-No2-2012-Articulo07-PP63-72,CONJUNTO DE HERRAMIENTAS QUE AUXILIAN EL DESARROLLO DE SISTEMAS GESTORES DE INFORMACIÓN EN DOMINIOS TEXTUALES,Michel Artiles Egüe|Leticia Arco García|Damny Magdaleno Guevara,Departamento de Ciencia de la Computación|Universidad Central 'Marta Abreu' de Las Villas|Cuba,gestión documental|gestión del conocimiento|automatización de la información,Herramientas para sistemas gestores de información textual
RCM-Vol26-No2-2012-Articulo08-PP73-80,ESTIMACIÓN TEMPRANA DEL TIEMPO DE DESARROLLO EN PROYECTOS DE SOFTWARE UTILIZANDO TÉCNICAS DE INTELIGENCIA ARTIFICIAL,Yaimara Granados Hondares|Gheisa Lucía Ferreira Lorenzo|Jarvin Antón Vargas|Luis Quintero Domínguez,Universidad Central 'Marta Abreu' de Las Villas,Estimación temporal|variables de estimación|gestión de proyectos de software,Estimación temporal en tareas de implementación en Redmine
RCM-Vol26-No2-2012-Articulo09-PP81-85,SIMPLER: Desde el MERX hasta las Bases de Datos Relacionales,Javier GuillotJiménez|Víctor Manuel Mendiola Lau|Benny JonRobaina|Daniel Alejandro Mesejo León|Omar Salas García|Haydée Guillot Jiménez,Universidad de La Habana|Facultad de Matemática y Computación,Bases de Datos|Modelo Relacional|Diagramas|Diseño Correcto,"Computación, Bases de Datos, Enseñanza de la Computación"
RCM-Vol26-No2-2012-Articulo10-PP87-96,GESPRO 11.05: UN SISTEMA PARA LA DIRECCIÓN INTEGRADA DE PROYECTOS PARA LA GESTIÓN DE LA PRODUCCIÓN,Pedro Y. Piñero Pérez|Surayne Torres López|Manuel Vázquez Acosta|Henrik Pestano Pino|Michaell González Jorrín|Marielis Izquierdo Matias|Jose A. Lugo García|Javier Menéndez|Ernesto A. Mederos Franqueiro|Felix N. Abelardo|Ana D. Pérez|Pedro R. Piñero,"Laboratorio de Gestión de Proyectos, Dirección Técnica de Producción, Universidad de las Ciencias Informáticas, Carretera San Antonio Km 2½. Ciudad de la Habana, Cuba, CP:19370, Tel (53)(07) 8372408",Gestión de Proyectos|Dirección Integrada|Gestión de Contenidos|Project management|Software Engineering Projects|Software Product Lines,Sistema de gestión de proyectos para la producción de software
"Texto+final+Vol+26,+No.+1-10-14",Recurso didáctico para la interpretación física de un modelo matemático aplicado a las transmisiones mecánicas,Elsa C. Ramírez García|Angel Isaac Moreno Delfrade|Rafael Chaviano Conde,"Universidad Central 'Marta Abreu' de Las Villas, Santa Clara, Cuba",,Modelos matemáticos para transmisiones mecánicas
"Texto+final+Vol+26,+No.+1-15-21",Alternativas metodológicas para favorecer el proceso de enseñanza aprendizaje de las asignaturas de la disciplina matemática en las carreras de ingenierías,Miguel Escalona Reyes|Osvaldo Jesús Rojas Velázquez,Universidad de Holguín,,Enseñanza de la matemática en ingenierías
"Texto+final+Vol+26,+No.+1-22-30",Aprendizaje relacional de la matemática en el preuniversitario,Maricela Rodríguez Ortiz|Elsa Gutiérrez Báez|Isabel Santiesteban Pérez|Eduardo Álvarez Rojas,Universidades de Ciencias Pedagógicas,,Formación de profesores de matemática en preuniversitario
"Texto+final+Vol+26,+No.+1-3-9 (1)",Aprendizaje de Redes Neuronales Recurrentes con instancias de longitud variable. Aplicaciones a la resistencia antiviral del VIH,Isel Grau|Isis Bonet,"Centro de Estudios de Informática, Universidad Central Marta Abreu de Las Villas, Cuba",,Predicción de resistencia del VIH con redes neuronales recurrentes
"Texto+final+Vol+26,+No.+1-3-9",Aprendizaje de Redes Neuronales Recurrentes con instancias de longitud variable. Aplicaciones a la resistencia antiviral del VIH,Isel Grau|Isis Bonet,"Centro de Estudios de Informática, Universidad Central Marta Abreu de Las Villas, Cuba",,Predicción de resistencia del VIH con redes neuronales recurrentes
"Texto+final+Vol+26,+No.+1-31-36",Estimación de parámetros de transmisión para un brote epidémico de Dengue en Ciudad de La Habana,Carlos Rafael Sebrango Rodríguez|Lizet Sánchez Valdez|Ziv Shkedy|Néstor Carbonell Rivero,"Universidad de Sancti Spíritus, Cuba|IPK.SLD.CU|UHasselt.BE|SUSS.CO.CU",,Estimación de parámetros de transmisión para brote epidémico de Dengue
"Texto+final+Vol+26,+No.+1-37-46",La educación mediante la instrucción: la educación económica en el proceso de enseñanza aprendizaje de la matemática,Carlos Duardo Monteagudo|Nancy Mesa Carpio|Gonzalo González Hernández,"UCP. Félix Varela, Cuba.",,Educación económica en matemáticas
"Texto+final+Vol+26,+No.+1-47-52",Cálculo de descriptores morfométricos y geométricos en la identificación de variaciones morfológicas en el eritrocito,Romina Robert Pérez|Mayelín Macías Norat,"Dpto. de Ing. Biomédica, Facultad de Ingeniería Eléctrica, Universidad de Oriente, Santiago de Cuba, Cuba|Dpto. de Ing. Informática, Facultad de Ingeniería Eléctrica, Universidad de Oriente, Cuba",,Análisis morfológico de eritrocitos
"Texto+final+Vol+26,+No.+1-53-57",Un modelo de los procesos moleculares de la polimerización y cristalización de la hemoglobina S,Sandy Sánchez Domínguez|Adolfo Fernández García|Iván Ruiz Chaveco,"Departamento de Matemática, Universidad de Oriente|Universidad del estado de Amazonas, Brasil",,Modelo molecular de polimerización y cristalización de hemoglobina S
"Texto+final+Vol+26,+No.+1-58-64",Promediación de estructuras regulares,AlejandroAlonso Fœster|David GuinovartSanjuÆn|RaœlGuinovart D(cid:237)az|Reinaldo Rodr(cid:237)guez Ramos|JuliÆn Bravo Castillero,"Universidad de las Ciencias InformÆticas|Carretera San Antonio de los Baæos, km 5‰, Reparto Lourdes, Boyeros, La Habana, Cuba",Materiales compuestos|coe(cid:222) cientes efectivos|homogeneizaci(cid:243)n asint(cid:243)tica|coordenadas curvil(cid:237)neas,Determinación de propiedades efectivas de medios cuasi periódicos en coordenadas curvilíneas
"Texto+final+Vol+26,+No.+1-65-70",Análisis envolvente de datos en la construcción de indicadores sintéticos: una aplicación al turismo de naturaleza en Cuba,Víctor E. Pérez León|Rafael E. Caballero Fernández|Flor María Guerrero Casas|Fátima Pérez García,"Departamento de Matemáticas, Universidad de Pinar del Río|Departamento de Economía Aplicada (Matemáticas), Universidad de Málaga, España|Área de Métodos Cuantitativos e Historia Económica, Universidad Pablo de Olavide, España",Análisis Envolvente de Datos (DEA)|indicadores sintéticos|sostenibilidad|turismo de naturaleza,Análisis Envolvente de Datos para indicadores sintéticos de sostenibilidad en turismo de naturaleza
"Texto+final+Vol+26,+No.+1-71-78","Algoritmo matemático para la calibración y cálculo de incertidumbre en tanques horizontales de cabezas planas, inclinados y con centros de medición desplazados (THCPICD)",Vladimir Pacheco Gonzalez,Universidad de Cienfuegos,,Algoritmo matemático para calibración y cálculo de incertidumbre en tanques horizontales
Texto+final+Vol.+25-10-16,Comparación de métodos de regresión en la predicción de dióxido de carbono,Gladys Linares|Adrián Saldaña|Marcela Rivera|Hortensia J. Cervantes,Departamento de Investigaciones en Ciencias Agrícolas|Facultad de Ciencias de la Computación|Facultad de Ciencias Físico-Matemáticas|Benemérita Universidad Autónoma de Puebla,gases de efecto invernadero|multicolinealidad|regresión paso a paso|regresión con componentes principales|regresión por mínimos cuadrados parciales,Comparación de métodos de regresión para predicción de dióxido de carbono
Texto+final+Vol.+25-17-25,Un acercamiento a las nociones de competencias básicas que la asignatura Análisis Matemático debe contribuir a desarrollar en los estudiantes de Ciencia de la Computación,Idania Urrutia Román|Virginia Álvarez Suárez,Facultad de Matemática y Computación|Universidad de La Habana,competencias|competencias cognitivas|TIC|análisis matemático,Competencias básicas en Análisis Matemático para estudiantes de Ciencia de la Computación
Texto+final+Vol.+25-26-38,Generalizaciones y caracterizaciones del concepto de mØtrica,Otilio Mederos Anoceto|Rita RoldÆn Inguanzo,"Universidad Aut(cid:243)noma de Coahuila, MØxico|Universidad de La Habana, Cuba",,Generalizaciones y caracterizaciones del concepto de mØtrica
Texto+final+Vol.+25-39-53,Data Warehousing en soluciones de Inteligencia de Negocios,Lucina García Hernández|Lis Velázquez Vidal|Mijail Veliz Monteagudo,"Facultad de Matemática y Computación, Universidad de La Habana, Cuba|División de Sistemas de Gestión Empresarial DATYS, Cuba|División de Turismo DATYS, Cuba",,Diseño y aplicación de data warehouse en Inteligencia de Negocios
Texto+final+Vol.+25-54-72,"Extracción de conocimientos lógicos y estadísticos, a partir de tablas de datos binarios: un estudio con alumnos de la enseñanza media superior de Santiago de Cuba",Larisa Zamora Matamoros|Pilar Oròs Baguena|Isabel Alonso Berenguer|Alexander Gorina Sánchez|Mailyn Álvarez Caneda,"Departamento de Matemática. Facultad de Matemática y Computación. Universidad de Oriente, Cuba|Departamento de Matemáticas. Escuela de Tecnología y Ciencias Experimentales. Universidad Jaume I, España",,Habilidades estadísticas y lógicas en alumnos de enseñanza media
Texto+final+Vol.+25-73-91,Polinomios multiortogonales clásicos en la recta real,MSc. Walter Carballosa Torres|Dr. Luis R. Piñeiro Díaz,"Universidad de las Ciencias Informáticas, Cuba|Universidad de La Habana, Cuba",,Propiedades algebraicas de los Polinomios Multiortogonales Clásicos
Vol+29+No+1+Pag+01+-+06,Mecanismos de aceleración para el algoritmo prototipo de optimización basado en análisis de intervalos,Greter Domínguez Rodríguez|Aymée Marrero Severo|Jorge Luis Rodríguez Pérez|Gonzalo Joya Caparrós,"Universidad de La Habana, Dirección Docente de Informatización|Universidad de La Habana, Facultad de Matemática y Computación|Universidad de Ciencias Informáticas, Cuba|Universidad de Málaga, Dpto. Tecnología Electrónica, E.T.S. Ing. Telecomunicación",Ana´lisis de Intervalos|Optimización Global|Procesamiento Paralelo,Mecanismos de aceleración para algoritmo de optimización basado en análisis de intervalos
Vol+29+No+1+Pag+07+-+18,Ajuste de curvas y superficies por polinomios implícitos,Rubén Interian Kovaliova,"DepartamentodeMatemática,UniversidaddeHabana,Habana,Cuba",Ajuste|PolinomioImplícito|Estabilidad|Metaheurística,Ajuste de curvas y superficies por polinomios implícitos
Vol+29+No+1+Pag+19+-+29,Algoritmo de corte y continuación con ramificación y acotación para la solución del problema cuadrático con restricciones de caja,Ridelio Miranda Pérez|Sira Allende Alonso|Boris Pérez Canedo|Gemayqzel Bouza Allende,"Universidad de Cienfuegos, Cuba|Universidad de La Habana, Cuba",nonconcave quadratic optimization|nonconvex quadratic programming|parametric optimization|branch-and-bound|positive semidefinite relaxation|semidefinite programming,Algoritmo híbrido para optimización cuadrática no convexa
Vol+29+No+1+Pag+31+-+39,Utilizar un teléfono Android como dispositivo de cifrado versátil,Anna Fernández Girone|Alejandro Tamayo Castillo|Miguel Katrib Mora,"Facultad de Matemática y Computación, Universidad de La Habana, Cuba",Android|Cifrado|Codificación|Certificados Digitales|Dispositivo Móvil|Llave Segura|Plataforma de Confianza|Privacidad|Seguridad|Teléfono Inteligente|Zona Segura,Cifrado y seguridad en dispositivos Android
Vol+29+No+1+Pag+41+-+51,Counting infinities - The ”number” of lattice points on convex cones,Li Guo|Sylvie Paycha|Bin Zhang,"Department of Mathematics and Computer Science, Rutgers University|Institute of Mathematics, University of Potsdam|Yangtze Center of Mathematics, Department of Mathematics, Sichuan University",cones|coalgebra|renormalization|Birkhoff decomposition|Euler-Maclaurin formula|meromorphic functions,Cuenta de puntos de malla en conos convexos
Vol+29+No+1+Pag+53+-+59,Subcritical Hopf Bifurcation for reversible non linear Gray-Scott model with diffusion,Susely Figueroa Iglesias|Mariano Rodríguez Ricard,"Departamento de Matemática, Universidad de La Habana, Cuba",Bifurcación de Hopf|modelo Gray-Scott,Bifurcación de Hopf subcrítica en modelo de Gray-Scott
Vol+29+No+1+Pag+61+-+67,Toro algebraico de tipo Norma sobre una extensión abeliana de Galois,Huber Martínez Rodríguez|Pedro Luis Del Angel Rodríguez|Jorge Estrada Sarlabous,"Departamento de Matemática, Universidad Máximo Gómez Báez, Cuba|Centro de Investigación en Matemáticas A.C, Gto. México|Inst. de Cibernética Matemática y Física, La Habana, Cuba",GroupScheme|Algebraic Tori|Torus-based Cryptography|Local fields,Algebraic norm type torus over abelian Galois extension
